dates,region,department,commune,IdpsInd,IdpReturn,ReturnFromOutsideBorder,Refugees,RessortissantPaysTiers
2022-05-30,Diffa,Diffa,Chetimari,951,0,0,230,0
2022-05-30,Diffa,Diffa,Chetimari,133,0,0,150,0
2022-05-30,Diffa,Diffa,Chetimari,267,0,0,50,0
2022-05-30,Diffa,Diffa,Chetimari,0,0,0,2028,0
2022-05-30,Diffa,Diffa,Chetimari,0,0,0,150,0
2022-05-30,Diffa,Diffa,Chetimari,407,150,150,150,0
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,673,0,0,0,0
2022-05-30,Diffa,Diffa,Chetimari,222,420,420,3200,630
2022-05-30,Diffa,Diffa,Chetimari,84,0,0,120,0
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,41,140,140,8,49
2022-05-30,Diffa,Diffa,Chetimari,1088,350,350,112,105
2022-05-30,Diffa,Diffa,Chetimari,404,245,245,36,0
2022-05-30,Diffa,Diffa,Chetimari,677,175,175,40,126
2022-05-30,Diffa,Diffa,Chetimari,60,42,42,8,35
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,140,140,140,24,280
2022-05-30,Diffa,Diffa,Diffa,215,0,0,280,0
2022-05-30,Diffa,Diffa,Diffa,385,0,0,100,0
2022-05-30,Diffa,Diffa,Diffa,0,0,0,1400,0
2022-05-30,Diffa,Diffa,Diffa,287,0,0,80,0
2022-05-30,Diffa,Diffa,Diffa,2703,0,0,1600,140
2022-05-30,Diffa,Diffa,Diffa,162,0,0,200,0
2022-05-30,Diffa,Diffa,Diffa,776,0,0,140,0
2022-05-30,Diffa,Diffa,Diffa,948,0,0,120,0
2022-05-30,Diffa,Diffa,Diffa,675,0,0,400,0
2022-05-30,Diffa,Diffa,Diffa,116,0,0,120,0
2022-05-30,Diffa,Diffa,Diffa,680,0,0,240,0
2022-05-30,Diffa,Diffa,Diffa,80,0,0,200,0
2022-05-30,Diffa,Diffa,Diffa,723,0,0,208,0
2022-05-30,Diffa,Diffa,Diffa,1348,0,0,1000,0
2022-05-30,Diffa,Diffa,Diffa,664,0,0,600,0
2022-05-30,Diffa,Diffa,Diffa,269,0,0,800,0
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,367,0,0,0,0
2022-05-30,Diffa,Maïné Soroa,Foulatari,133,0,0,150,0
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,632,0,0,150,0
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,275,0,0,150,0
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,48,0,0,100,0
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,151,0,0,30,0
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,0,0,0,800,0
2022-05-30,Diffa,Diffa,Chetimari,276,210,210,120,0
2022-05-30,Diffa,Diffa,Chetimari,84,70,70,60,35
2022-05-30,Diffa,Diffa,Chetimari,338,0,0,200,0
2022-05-30,Diffa,Diffa,Chetimari,275,1400,1400,9,0
2022-05-30,Diffa,Diffa,Chetimari,26,0,0,1940,0
2022-05-30,Diffa,Diffa,Chetimari,977,0,0,108,0
2022-05-30,Diffa,Diffa,Chetimari,0,0,0,516,0
2022-05-30,Diffa,Diffa,Chetimari,364,0,0,60,0
2022-05-30,Diffa,Diffa,Chetimari,539,0,0,120,0
2022-05-30,Diffa,Diffa,Chetimari,2162,0,0,1200,0
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,187,0,0,80,0
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,106,0,0,0,0
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,273,0,0,120,0
2022-05-30,Diffa,Diffa,Chetimari,1607,0,0,600,0
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,141,0,0,120,0
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,0,0,0,320,0
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,413,1190,1190,1764,56
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,167,0,0,400,21
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,404,210,210,12,154
2022-05-30,Diffa,Maïné Soroa,Maine Soroa,407,2450,2450,480,0
2022-05-30,Diffa,N'Guigmi,Kabalewa,1078,0,0,0,0
2022-05-30,Diffa,N'Guigmi,Nguigmi,2126,70,70,40,0
2022-05-30,Diffa,N'Guigmi,Nguigmi,2703,0,0,20,0
