dates,region,department,commune,Idps,MenaeIdp,IdpReturn,MenaeReturnIdp,ReturnEtrangerMenages,ReturnEtrangerIndividus,autochtone,autochtoneMenages,RessortissantsPaysTiersMenage,RessortissantsPaysTiersIndi,RefugeesMenages,RefugeesIndi
2022-05-31,Diffa,Diffa,Chetimari,951,210,0,0,0,0,0,0,0,0,77,230
2022-05-31,Diffa,Diffa,Chetimari,133,29,0,0,0,0,0,0,0,0,25,150
2022-05-31,Diffa,Diffa,Chetimari,267,59,0,0,20,0,0,0,0,0,10,50
2022-05-31,Diffa,Diffa,Chetimari,0,0,0,0,0,0,0,0,0,0,507,2028
2022-05-31,Diffa,Diffa,Chetimari,0,0,0,0,100,0,0,0,0,0,65,150
2022-05-31,Diffa,Diffa,Chetimari,407,90,150,75,0,150,0,0,0,0,75,150
2022-05-31,Diffa,Maïné Soroa,Maine Soroa,673,150,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Chetimari,222,48,420,60,39,420,3290,3290,90,630,800,3200
2022-05-31,Diffa,Diffa,Chetimari,84,18,0,0,4,0,70,70,0,0,30,120
2022-05-31,Diffa,Maïné Soroa,Maine Soroa,41,9,140,20,6,140,0,0,7,49,2,8
2022-05-31,Diffa,Diffa,Chetimari,1088,241,350,50,20,350,49,49,15,105,28,112
2022-05-31,Diffa,Diffa,Chetimari,404,90,245,35,15,245,70,70,0,0,9,36
2022-05-31,Diffa,Diffa,Chetimari,677,150,175,25,15,175,175,175,18,126,10,40
2022-05-31,Diffa,Diffa,Chetimari,60,14,42,6,3,42,0,0,5,35,2,8
2022-05-31,Diffa,Maïné Soroa,Maine Soroa,140,30,140,20,30,140,350,350,40,280,6,24
2022-05-31,Diffa,Diffa,Diffa,215,48,0,0,0,0,0,0,0,0,70,280
2022-05-31,Diffa,Diffa,Diffa,385,85,0,0,0,0,0,0,0,0,25,100
2022-05-31,Diffa,Diffa,Diffa,0,0,0,0,0,0,0,0,0,0,350,1400
2022-05-31,Diffa,Diffa,Diffa,287,62,0,0,0,0,0,0,0,0,20,80
2022-05-31,Diffa,Diffa,Diffa,2703,600,0,0,50,0,280,280,20,140,400,1600
