dates,region,department,commune,IdpsMenages,IdpsInd,RessortissantPaysTiers,IdpReturn,ReturnFromOutsideBorder,Refugees,lat,lon
2023-04-30,Diffa,Nguigmi,Kabalewa,162,649,0,0,0,350,13.9339088,12.9454066
2023-04-30,Diffa,Nguigmi,Kabalewa,200,800,0,0,0,140,13.9695547,12.9673243
2023-04-30,Diffa,Nguigmi,Kabalewa,72,288,0,0,0,35,13.970282,12.9753618
2023-04-30,Diffa,Nguigmi,Kabalewa,400,1600,0,0,0,70,13.975259,12.9635959
2023-04-30,Diffa,Nguigmi,Kabalewa,1200,4800,0,2880,0,5600,13.980331,12.966905
2023-04-30,Diffa,Nguigmi,Kabalewa,160,640,0,0,0,0,14.0528435,12.9723178
2023-04-30,Diffa,Nguigmi,Kabalewa,160,640,0,0,0,0,14.0565392,12.9741787
2023-04-30,Diffa,Nguigmi,Kabalewa,160,640,0,0,0,0,14.0561114,12.9754571
2023-04-30,Diffa,Nguigmi,Kabalewa,80,320,0,0,0,0,14.1015755,12.9573911
2023-04-30,Diffa,Nguigmi,Kabalewa,40,160,0,32,70,70,14.1300714,12.9785736
2023-04-30,Diffa,Nguigmi,Nguigmi,160,640,0,0,0,140,14.2093598,13.0413542
2023-04-30,Diffa,Nguigmi,Nguigmi,80,320,0,160,70,70,14.2534829,13.0657549
2023-04-30,Diffa,Nguigmi,Nguigmi,160,640,0,0,0,70,14.33912,13.1221893
2023-04-30,Diffa,Nguigmi,Nguigmi,160,640,0,0,0,70,14.3455755,13.1326346
2023-04-30,Diffa,Nguigmi,Nguigmi,120,480,0,0,0,0,14.359503,13.1402158
2023-04-30,Diffa,Nguigmi,Nguigmi,96,384,0,0,0,0,14.3817892,13.1149856
2023-04-30,Diffa,Nguigmi,Nguigmi,80,320,0,32,0,0,14.3290757,13.1602635
2023-04-30,Diffa,Nguigmi,Nguigmi,80,320,0,64,0,140,14.2815835,13.0956562
2023-04-30,Diffa,Nguigmi,Nguigmi,40,160,0,160,0,0,14.4204462,13.3903643
2023-04-30,Diffa,Nguigmi,Nguigmi,40,160,0,160,0,70,14.413906,13.3282475
2023-04-30,Diffa,Nguigmi,Nguigmi,80,320,0,320,0,0,14.3838838,13.2725642
2023-04-30,Diffa,Nguigmi,Nguigmi,160,640,0,320,0,0,14.3784819,13.2568525
2023-04-30,Diffa,Nguigmi,Nguigmi,800,3200,0,0,0,0,14.2801058,13.1433685
2023-04-30,Diffa,Ngourti,Ngourti,40,160,0,64,70,70,15.3282444,13.1971265
2023-04-30,Diffa,Ngourti,Ngourti,40,160,0,0,0,0,14.8309095,13.2404834
2023-04-30,Diffa,Diffa,Chetimari,240,960,0,1920,0,0,13.1848954,12.4235199
