dates,region,department,commune,Idps,IdpReturn,autochtone,MenaeIdp,MenaeReturnIdp
,Diffa,Bosso,Toumour,0,700,350,0,700
,Diffa,Bosso,Toumour,168,0,84,40,0
,Diffa,Bosso,Toumour,210,0,70,50,0
,Diffa,Bosso,Toumour,126,0,105,30,0
,Diffa,Bosso,Toumour,0,0,840,0,0
,Diffa,Bosso,Toumour,210,0,0,50,0
,Diffa,Bosso,Toumour,84,0,49,20,0
,Diffa,Bosso,Bosso,210,0,0,50,0
,Diffa,Bosso,Bosso,210,1345,210,50,1345
,Diffa,Bosso,Bosso,630,0,140,150,0
,Diffa,Bosso,Bosso,168,0,70,40,0
,Diffa,Bosso,Bosso,546,0,0,130,0
,Diffa,Bosso,Bosso,126,0,0,30,0
,Diffa,Bosso,Bosso,1470,0,700,350,0
,Diffa,Bosso,Bosso,0,40,308,0,40
,Diffa,Bosso,Bosso,126,0,88,30,0
,Diffa,Bosso,Bosso,0,0,0,0,0
,Diffa,Bosso,Bosso,126,0,105,30,0
,Diffa,Bosso,Bosso,210,0,140,50,0
,Diffa,Bosso,Bosso,840,0,700,200,0
,Diffa,Bosso,Bosso,273,0,0,65,0
,Diffa,Bosso,Bosso,420,75,490,100,75
,Diffa,Bosso,Bosso,0,0,0,0,0
,Diffa,Bosso,Bosso,0,0,0,0,0
,Diffa,Bosso,Toumour,210,0,105,50,0
,Diffa,Bosso,Toumour,126,0,105,30,0
,Diffa,Bosso,Toumour,84,0,0,20,0
,Diffa,Bosso,Toumour,84,0,210,20,0
,Diffa,Bosso,Toumour,1680,0,200,400,0
,Diffa,Bosso,Toumour,756,0,0,180,0
,Diffa,Bosso,Toumour,294,0,210,70,0
,Diffa,Bosso,Toumour,210,0,0,50,0
,Diffa,Bosso,Toumour,420,0,0,100,0
,Diffa,Bosso,Toumour,126,0,35,30,0
,Diffa,Bosso,Toumour,672,0,49,160,0
,Diffa,Bosso,Toumour,504,0,350,120,0
,Diffa,Bosso,Toumour,0,0,700,0,0
,Diffa,Bosso,Toumour,546,0,0,130,0
,Diffa,Bosso,Toumour,630,0,0,150,0
,Diffa,Bosso,Toumour,840,0,0,200,0
,Diffa,Diffa,Diffa,328,0,0,78,0
,Diffa,Diffa,Diffa,239,0,0,57,0
,Diffa,Diffa,Diffa,487,0,0,116,0
,Diffa,Diffa,Diffa,328,0,0,78,0
,Diffa,Diffa,Diffa,1449,0,0,345,0
,Diffa,Diffa,Diffa,433,0,0,103,0
,Diffa,Diffa,Diffa,907,0,0,216,0
,Diffa,Diffa,Diffa,218,0,1400,52,0
,Diffa,Diffa,Diffa,916,0,25,218,0
,Diffa,Diffa,Diffa,987,0,0,235,0
,Diffa,Diffa,Diffa,252,0,210,60,0
,Diffa,Diffa,Diffa,722,0,350,172,0
,Diffa,Diffa,Diffa,979,0,0,233,0
,Diffa,Diffa,Diffa,542,0,700,129,0
,Diffa,Diffa,Diffa,181,0,0,43,0
,Diffa,Diffa,Diffa,907,0,0,216,0
,Diffa,Diffa,Diffa,659,0,210,157,0
,Diffa,Diffa,Diffa,0,0,1946,0,0
,Diffa,Diffa,Diffa,0,0,420,0,0
,Diffa,Diffa,Diffa,622,0,210,148,0
,Diffa,Diffa,Diffa,529,0,35,126,0
,Diffa,Diffa,Diffa,71,0,70,17,0
,Diffa,Diffa,Diffa,722,0,0,172,0
,Diffa,Diffa,Diffa,433,0,0,103,0
,Diffa,Diffa,Diffa,1021,0,490,243,0
,Diffa,Diffa,Diffa,1814,0,0,432,0
,Diffa,Diffa,Diffa,0,0,750,0,0
,Diffa,Diffa,Diffa,361,0,0,86,0
,Diffa,Diffa,Diffa,916,300,6300,218,300
,Diffa,Diffa,Diffa,722,0,140,172,0
,Diffa,Diffa,Diffa,307,0,0,73,0
,Diffa,Diffa,Diffa,542,0,0,129,0
,Diffa,Diffa,Diffa,0,0,350,0,0
,Diffa,Diffa,Diffa,0,0,0,0,0
,Diffa,Diffa,Diffa,181,0,0,43,0
,Diffa,Diffa,Diffa,361,0,0,86,0
,Diffa,Diffa,Diffa,0,0,2400,0,0
,Diffa,Diffa,Diffa,592,13,196,141,13
,Diffa,Diffa,Diffa,361,0,70,86,0
,Diffa,Diffa,Diffa,290,0,140,69,0
,Diffa,Diffa,Diffa,1848,85,350,440,85
,Diffa,Diffa,Diffa,109,32,490,26,32
,Diffa,Diffa,Diffa,8,1,7,2,1
,Diffa,Diffa,Diffa,181,65,1050,43,65
,Diffa,Diffa,Diffa,722,150,4200,172,150
,Diffa,Diffa,Diffa,218,85,1400,52,85
,Diffa,Diffa,Diffa,290,20,1750,69,20
,Diffa,Diffa,Diffa,2029,0,0,483,0
,Diffa,Diffa,Diffa,0,0,1500,0,0
,Diffa,Diffa,Diffa,0,0,0,0,0
,Diffa,Diffa,Diffa,651,0,0,155,0
,Diffa,Diffa,Diffa,979,0,0,233,0
,Diffa,Diffa,Diffa,2008,0,180,478,0
,Diffa,Diffa,Diffa,2533,75,800,603,75
,Diffa,Diffa,Diffa,361,75,1000,86,75
,Diffa,Diffa,Diffa,1810,0,1100,431,0
,Diffa,Diffa,Diffa,542,0,1920,129,0
,Diffa,Diffa,Gueskerou,0,0,28,0,0
,Diffa,Diffa,Gueskerou,361,0,210,86,0
,Diffa,Diffa,Diffa,0,0,1400,0,0
,Diffa,Diffa,Gueskerou,542,50,700,129,50
,Diffa,Diffa,Gueskerou,88,0,280,21,0
,Diffa,Diffa,Gueskerou,361,0,140,86,0
