dates;region;department;commune;Idp2017;Idp2018;Idp2019;IdpTotalInsecurite;IdpTotalMenageInsecurite
12/12/2019;Tillabéri;Torodi;Makalondi;0;0;600;600;86
12/12/2019;Tahoua;Tassara;Tassara;0;6516;0;2396;352
12/12/2019;Tillabéri;Tera;Tera;;;;0;0
12/12/2019;Tillabéri;Abala;Abala;17554;0;0;17554;2546
12/12/2019;Tillabéri;Ouallam;Tondikiwindi;0;3231;0;3231;455
12/12/2019;Tillabéri;Tera;Diagourou;;;115;115;37
12/12/2019;Tillabéri;Ouallam;Simiri;;;0;0;0
12/12/2019;Tillabéri;Ouallam;Ouallam;;;;0;0
12/12/2019;Tillabéri;Tillaberi;Sakoira;0;257;0;257;46
12/12/2019;Tillabéri;Tillaberi;Tillaberi;0;0;1461;1461;247
12/12/2019;Tillabéri;Tera;Goroual;;;644;644;92
12/12/2019;Tillabéri;Tillaberi;Anzourou;0;935;0;935;155
12/12/2019;Tillabéri;Tillaberi;Dessa;0;0;573;573;181
12/12/2019;Tillabéri;Ouallam;Dingazi;;;;0;0
12/12/2019;Tillabéri;Banibangou;Banibangou;0;658;6188;6846;978
12/12/2019;Tahoua;Tillia;Tillia;2400;14186;2051;16586;2169
12/12/2019;Tillabéri;Abala;Sanam;0;8918;0;8918;1274
12/12/2019;Tillabéri;Torodi;Torodi;0;0;877;877;125
12/12/2019;Tillabéri;Ayerou;Inates;0;0;31090;31090;4174
12/12/2019;Tillabéri;Ayerou;Ayerou;0;0;6311;6311;1169
