commune,department,region,IDP,geometry
Abala,Abala,Tillabéry,604,3.4163823|3.4157867|3.4163552|3.4163222|3.4163652|3.4162392|3.4165401|3.4164625|3.41642|3.4164454|3.4164983|3.4176147|3.41742|3.4180233|3.4180146|14.9306124|14.9326833|14.9315683|14.9316055|14.9316413|14.9315186|14.9311922|14.9315105|14.9315967|14.9316692|14.9316517|14.9316644|14.9317484|14.9373867|14.9368436
Ayorou,Tillaberi,Tillabéry,1114,0.9149226|0.9109367|0.912996|0.9167682|0.9181699|0.9299017|0.9342622|0.9323376|0.9298706|0.9291821|14.7374829|14.7457017|14.7439001|14.7439566|14.7335472|14.72764|14.7244261|14.7232965|14.7250089|14.7232486
Bagaroua,Bagaroua,Tahoua,391,4.3597112|4.3015565|4.299121052|4.43187288|4.506293535|14.6422724|14.6147726|14.61347254|14.63779289|14.13070535
Bangui,Madaoua,Tahoua,1725,6.3265932|6.2721214|6.271553775|6.2501673|6.3169556|6.1830924|6.1978773|6.2097879|6.1648418|6.1792452|6.0124093|6.046902509|6.050802|6.0516286|6.066246266|6.1355933|6.1461897|6.129180109|6.1322831|6.0851986|6.0843532|6.0703979|6.1372173|6.1122875|6.1756582|6.177596161|6.1711572|6.175835207|6.2066344|6.230922|6.187572554|6.1943082|6.168942768|6.1957881|6.195436874|6.2399706|6.281624297|6.263605|6.2585743|6.2716337|6.274144454|6.282759961|6.2933293|6.303850589|13.8526829|13.8552407|13.85186768|13.8370951|13.9303438|13.9428112|13.9431722|13.8382921|13.8485995|13.924367|13.8671142|13.81981293|13.7419709|13.7035929|13.72254053|13.6548213|13.6715158|13.69191892|13.7019002|13.712041|13.7338357|13.7922797|13.7702925|13.7485143|13.7695962|13.77846044|13.7733356|13.81776184|13.8347795|13.798712|13.72816277|13.6833414|13.66278908|13.6756959|13.6772819|13.6761556|13.69199804|13.7416541|13.7092545|13.7644215|13.80474981|13.79079093|13.7943288|13.7923298
Banibangou,Banibangou,Tillabéry,3014,2.694195|2.6942552|2.6942867|2.7021055|2.7024855|2.7021685|2.7021443|2.7021877|2.7022057|2.7022318|2.7022062|2.7021555|2.7021516|2.7031615|2.7018833|2.7168888|15.0360517|15.0359754|15.0358589|15.0400829|15.0401254|15.0401723|15.0401914|15.0401298|15.0401469|15.0401231|15.0401189|15.0400967|15.0400896|15.0382104|15.0358894|14.9460857
Birnin_Konni,Birnin_Konni,Tahoua,60,5.630111871|5.8632003|4.7634596|4.9231026|13.92117235|14.4172599|13.8389806|13.784754
Bitinkodji,Kollo,Tillabéry,52,1.9585971|1.9582638|13.5769797|13.5770782
Bosso,Bosso,Diffa,2132,13.11646258|13.17219134|13.26955654|13.30146552|13.30146762|13.30774038|13.30764374|13.30671226|13.30667194|13.30653909|13.306654|13.30552781|13.30570525|13.27447277|13.87271867|13.88184949|13.68466057|13.70518504|13.70518089|13.70118771|13.69982423|13.70015858|13.70031168|13.70031029|13.70038556|13.70100721|13.70087788|13.69888495
Chetimari,Diffa,Diffa,2716,12.3568435|12.3608105|12.4234599|12.4240627|12.42210958|12.4235199|12.418635|12.41957531|12.4107251|12.39338522|12.4023981|12.41989575|12.4247285|12.4220905|12.4226747|12.4189069|12.43289248|12.36818679|12.4063175|12.4163471|12.4116461|12.4797451|12.4788731|12.4502015|12.4625189|12.4907626|12.49202622|12.4905449|12.49065896|12.49116976|12.4911696|12.4863552|12.4844733|13.1728577|13.1743585|13.1893798|13.188326|13.1846492|13.1848954|13.1896183|13.1907524|13.190543|13.18811545|13.1904399|13.19357056|13.2090124|13.2071517|13.2085319|13.2088872|13.22243226|13.4217232|13.3616418|13.2901368|13.2390755|13.2626701|13.2610325|13.2897284|13.3047244|13.2687488|13.26948743|13.2701357|13.27303276|13.26829753|13.2683457|13.2674564|13.2659783
Dan_Issa,Madarounfa,Maradi,76,7.2599137|7.2565542|7.2818584|7.2165823|13.2085614|13.1786833|13.1162235|13.3491957
Dantchiandou,Kollo,Tillabéry,288,2.5965268|2.7556449|2.7311286|2.776939|13.6280007|13.4124721|13.4068441|13.5137072
Dessa,Tillaberi,Tillabéry,2286,1.1145451|1.115713|1.115728|1.1156501|1.0890746|1.0890533|1.0889717|1.0889319|1.025467|1.0172479|1.0183693|1.0166387|1.3034727|1.2570821|14.5274782|14.5185946|14.5186877|14.5186996|14.5557213|14.5556767|14.5556233|14.5557054|14.6179061|14.6182762|14.62152|14.6225099|14.3113864|14.350855
